x,y1,y2,y3
0.479495,1.18626,2.08909,0.96148
0.480284,1.18626,2.08909,0.96148
0.481073,1.18864,2.09699,0.961458
0.481861,1.18864,2.09699,0.961458
0.48265,1.18864,2.09699,0.961458
0.483438,1.18864,2.09699,0.961458
0.484227,1.19103,2.10491,0.961439
0.485016,1.19103,2.10491,0.961439
0.485804,1.19103,2.10491,0.961439
0.486593,1.19103,2.10491,0.961439
0.487382,1.19344,2.11284,0.961424
0.48817,1.19344,2.11284,0.961424
0.488959,1.19344,2.11284,0.961424
0.489748,1.19344,2.11284,0.961424
0.490536,1.19586,2.12078,0.961413
0.491325,1.19586,2.12078,0.961413
0.492114,1.19586,2.12078,0.961413
0.492902,1.19586,2.12078,0.961413
0.493691,1.1983,2.12875,0.961406
0.494479,1.1983,2.12875,0.961406
0.495268,1.1983,2.12875,0.961406
0.496057,1.1983,2.12875,0.961406
0.496845,1.20075,2.13672,0.961402
0.497634,1.20075,2.13672,0.961402
0.498423,1.20075,2.13672,0.961402
0.499211,1.20075,2.13672,0.961402
0.5,1.20322,2.14472,0.961403
0.500789,1.20322,2.14472,0.961403
0.501577,1.20322,2.14472,0.961403
0.502366,1.20322,2.14472,0.961403
0.503155,1.2057,2.15272,0.961407
0.503943,1.2057,2.15272,0.961407
0.504732,1.2057,2.15272,0.961407
0.505521,1.2057,2.15272,0.961407
0.506309,1.2082,2.16075,0.961416
0.507098,1.2082,2.16075,0.961416
0.507886,1.2082,2.16075,0.961416
0.508675,1.2082,2.16075,0.961416
0.509464,1.21071,2.16879,0.961428
0.510252,1.21071,2.16879,0.961428
0.511041,1.21071,2.16879,0.961428
0.51183,1.21071,2.16879,0.961428
0.512618,1.21323,2.17684,0.961444
0.513407,1.21323,2.17684,0.961444
0.514196,1.21323,2.17684,0.961444
0.514984,1.21323,2.17684,0.961444
0.515773,1.21577,2.18491,0.961465
0.516562,1.21577,2.18491,0.961465
0.51735,1.21577,2.18491,0.961465
0.518139,1.21577,2.18491,0.961465
0.518927,1.21832,2.193,0.961489
0.519716,1.21832,2.193,0.961489
0.520505,1.21832,2.193,0.961489
0.521293,1.21832,2.193,0.961489
0.522082,1.22089,2.2011,0.961517
0.522871,1.22089,2.2011,0.961517
0.523659,1.22089,2.2011,0.961517
0.524448,1.22089,2.2011,0.961517
0.525237,1.22348,2.20922,0.96155
0.526025,1.22348,2.20922,0.96155
0.526814,1.22348,2.20922,0.96155
0.527603,1.22348,2.20922,0.96155
0.528391,1.22607,2.21736,0.961586
0.52918,1.22607,2.21736,0.961586
0.529968,1.22607,2.21736,0.961586
0.530757,1.22607,2.21736,0.961586
0.531546,1.22869,2.22551,0.961627
0.532334,1.22869,2.22551,0.961627
0.533123,1.22869,2.22551,0.961627
0.533912,1.22869,2.22551,0.961627
0.5347,1.23131,2.23368,0.961672
0.535489,1.23131,2.23368,0.961672
0.536278,1.23131,2.23368,0.961672
0.537066,1.23131,2.23368,0.961672
0.537855,1.23395,2.24186,0.961721
0.538644,1.23395,2.24186,0.961721
0.539432,1.23395,2.24186,0.961721
0.540221,1.23395,2.24186,0.961721
0.541009,1.23661,2.25006,0.961774
0.541798,1.23661,2.25006,0.961774
0.542587,1.23661,2.25006,0.961774
0.543375,1.23661,2.25006,0.961774
0.544164,1.23928,2.25828,0.961831
0.544953,1.23928,2.25828,0.961831
0.545741,1.23928,2.25828,0.961831
0.54653,1.23928,2.25828,0.961831
0.547319,1.24197,2.26652,0.961893
0.548107,1.24197,2.26652,0.961893
0.548896,1.24197,2.26652,0.961893
0.549685,1.24197,2.26652,0.961893
0.550473,1.24467,2.27477,0.961959
0.551262,1.24467,2.27477,0.961959
0.55205,1.24467,2.27477,0.961959
0.552839,1.24467,2.27477,0.961959
0.553628,1.24738,2.28304,0.962029
0.554416,1.24738,2.28304,0.962029
0.555205,1.24738,2.28304,0.962029
0.555994,1.24738,2.28304,0.962029
0.556782,1.25011,2.29132,0.962103
0.557571,1.25011,2.29132,0.962103
0.55836,1.25011,2.29132,0.962103
0.559148,1.25011,2.29132,0.962103
0.559937,1.25285,2.29963,0.962182
0.560726,1.25285,2.29963,0.962182
0.561514,1.25285,2.29963,0.962182
0.562303,1.25285,2.29963,0.962182
0.563091,1.25561,2.30795,0.962265
0.56388,1.25561,2.30795,0.962265
0.564669,1.25561,2.30795,0.962265
0.565457,1.25561,2.30795,0.962265
0.566246,1.25839,2.31629,0.962353
0.567035,1.25839,2.31629,0.962353
0.567823,1.25839,2.31629,0.962353
0.568612,1.25839,2.31629,0.962353
0.569401,1.26117,2.32464,0.962445
0.570189,1.26117,2.32464,0.962445
0.570978,1.26117,2.32464,0.962445
0.571767,1.26117,2.32464,0.962445
0.572555,1.26398,2.33301,0.962541
0.573344,1.26398,2.33301,0.962541
0.574132,1.26398,2.33301,0.962541
0.574921,1.26398,2.33301,0.962541
0.57571,1.26679,2.34141,0.962642
0.576498,1.26679,2.34141,0.962642
0.577287,1.26679,2.34141,0.962642
0.578076,1.26679,2.34141,0.962642
0.578864,1.26962,2.34981,0.962747
0.579653,1.26962,2.34981,0.962747
0.580442,1.26962,2.34981,0.962747
0.58123,1.26962,2.34981,0.962747
0.582019,1.27247,2.35824,0.962856
0.582808,1.27247,2.35824,0.962856
0.583596,1.27247,2.35824,0.962856
0.584385,1.27247,2.35824,0.962856
0.585174,1.27533,2.36669,0.96297
0.585962,1.27533,2.36669,0.96297
0.586751,1.27533,2.36669,0.96297
0.587539,1.27533,2.36669,0.96297
0.588328,1.27821,2.37515,0.963089
0.589117,1.27821,2.37515,0.963089
0.589905,1.27821,2.37515,0.963089
0.590694,1.27821,2.37515,0.963089
0.591483,1.2811,2.38363,0.963212
0.592271,1.2811,2.38363,0.963212
0.59306,1.2811,2.38363,0.963212
0.593849,1.2811,2.38363,0.963212
0.594637,1.284,2.39213,0.96334
0.595426,1.284,2.39213,0.96334
0.596215,1.284,2.39213,0.96334
0.597003,1.284,2.39213,0.96334
0.597792,1.28692,2.40065,0.963473
0.59858,1.28692,2.40065,0.963473
0.599369,1.28692,2.40065,0.963473
0.600158,1.28692,2.40065,0.963473
0.600946,1.28986,2.40918,0.96361
0.601735,1.28986,2.40918,0.96361
0.602524,1.28986,2.40918,0.96361
